,name,price,status,date,images
0,['Stephen curry'],['$150'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/VXZIRMS_1610641826_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/VXZIRMS_1610641826_back.jpeg']"
1,['PATRICK MAHOMES'],['$125'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/PRZJYOS_1610603416_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/PRZJYOS_1610603416_back.jpeg']"
2,['2x Coby White Select Concourse PSA 10'],['$240'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/ALZBMWE_1610602754_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/ALZBMWE_1610602754_back.jpeg']"
3,['Coby White Select Premier Level PSA 10'],['$145'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/EJLKBFG_1610602586_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/EJLKBFG_1610602586_back.jpeg']"
4,['Nickeil Alexander Walker Prizm Silver PSA10 '],['$250'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/SMHSYWF_1610601818_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/SMHSYWF_1610601818_back.jpeg']"
5,['2013 Topps Mike Trout Silver Slate Blue Sparkle PSA 9'],['$180'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KTCXHYV_1610593718_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KTCXHYV_1610593718_back.jpeg']"
6,"[""2014-15 Panini Select Silver Prizm Shaquille O'Neal #174 SGC 9""]",['$30'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/LNOWHEM_1610593271_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/LNOWHEM_1610593271_back.jpeg']"
7,['1995 Topps Embossed Golden Idols Greg Maddux #109 SGC 10'],['$25'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JEKGXHD_1610590985_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JEKGXHD_1610590985_back.jpeg']"
8,['MARVIN BAGLEY'],['$15'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/HOBRZHP_1610589626_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/HOBRZHP_1610589626_back.jpeg']"
9,['2020 Topps Chrome Refractor Luis Robert # 60'],['$300'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/RVVHETT_1610588585_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/RVVHETT_1610588585_back.jpeg']"
10,['2020 Topps Chrome Luis Robert #60'],['$165'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/CUWLWRY_1610587451_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/CUWLWRY_1610587451_back.jpeg']"
11,['Michael Porter Jr.'],['$260'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KJZGJAH_1610587275_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KJZGJAH_1610587275_back.jpeg']"
12,['2x Zion Williamson Prizm PSA 10 '],"['$1,250']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KTUEBCC_1610587053_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KTUEBCC_1610587053_back.jpeg']"
13,['James Harden'],['$595'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/XKDIBHV_1610586361_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/XKDIBHV_1610586361_back.jpeg']"
14,['James Harden'],['$400'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/SUTUJDP_1610586191_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/SUTUJDP_1610586191_back.jpeg']"
15,['Zion Williamson Revolution'],['$50'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/AEGFCAU_1610585678_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/AEGFCAU_1610585678_back.jpeg']"
16,['Mike Trout'],"['$1,700']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JMBSVFU_1610581903_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JMBSVFU_1610581903_back.jpeg']"
17,['1997 Skybox Metal Universe Tim Duncan RC SGC 10'],['$307.5'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JTFJFOR_1610581242_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JTFJFOR_1610581242_back.jpeg']"
18,"['Fernando Tatis, Jr.']","['$4,000']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/FUSEJBF_1610576569_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/FUSEJBF_1610576569_back.jpeg']"
